mysql> use DBMS_Lab;
Database changed
mysql> SELECT employee_id, first_name, last_name, salary
    -> FROM Employees
    -> WHERE is_active = TRUE
    ->   AND salary > 50000
    -> ORDER BY salary DESC;
+-------------+------------+-----------+-----------+
| employee_id | first_name | last_name | salary    |
+-------------+------------+-----------+-----------+
|         820 | Charlie    | Taylor    | 109218.77 |
|         340 | Alice      | Taylor    | 108958.96 |
|         742 | Jane       | Brown     | 108029.27 |
|          80 | Jane       | Johnson   | 107513.45 |
|         689 | John       | Taylor    | 106091.67 |
|         410 | Charlie    | Taylor    | 105838.04 |
|         622 | John       | Smith     | 104960.71 |
|         929 | John       | Smith     | 102300.78 |
|         612 | Alice      | Brown     | 101427.90 |
|         342 | John       | Smith     | 100566.14 |
|         652 | Alice      | Johnson   |  99974.03 |
|         470 | Charlie    | Doe       |  99882.51 |
|         858 | John       | Taylor    |  99767.67 |
|         121 | Jane       | Johnson   |  99658.09 |
|         982 | Jane       | Doe       |  99554.97 |
|         244 | Charlie    | Taylor    |  99491.03 |
|         101 | Jane       | Johnson   |  99082.43 |
|         620 | John       | Johnson   |  99075.19 |
|         176 | Charlie    | Smith     |  98681.88 |
|         794 | Alice      | Johnson   |  98595.15 |
|         498 | Charlie    | Taylor    |  98279.88 |
|         411 | Jane       | Johnson   |  98066.70 |
|         525 | Jane       | Johnson   |  97945.75 |
|         703 | Alice      | Johnson   |  97933.39 |
|         724 | Charlie    | Smith     |  97876.05 |
|         577 | Alice      | Doe       |  97695.78 |
|         856 | Jane       | Doe       |  97436.23 |
|         764 | Charlie    | Smith     |  97400.63 |
|         224 | John       | Taylor    |  97391.22 |
|         816 | Jane       | Taylor    |  97290.87 |
|           6 | John       | Doe       |  97168.27 |
|         618 | John       | Brown     |  97001.30 |
|         493 | John       | Doe       |  96954.66 |
|         420 | Alice      | Doe       |  96922.53 |
|         782 | John       | Smith     |  96764.64 |
|         299 | Bob        | Smith     |  96732.60 |
|         914 | Jane       | Johnson   |  96650.71 |
|         205 | Alice      | Taylor    |  96643.26 |
|         322 | Alice      | Taylor    |  96520.92 |
|         138 | Jane       | Doe       |  96419.47 |
|          32 | Charlie    | Smith     |  96402.05 |
|         781 | John       | Taylor    |  96282.78 |
|         559 | John       | Doe       |  96234.41 |
|          25 | Bob        | Brown     |  96177.83 |
|         694 | Bob        | Brown     |  95826.83 |
|         418 | Bob        | Brown     |  95727.66 |
|         353 | Charlie    | Taylor    |  95645.86 |
|         482 | Alice      | Doe       |  95521.56 |
|         987 | Jane       | Smith     |  95276.51 |
|         658 | Bob        | Smith     |  95185.25 |
|         898 | Alice      | Johnson   |  95144.18 |
|         175 | Bob        | Johnson   |  95137.22 |
|         736 | John       | Brown     |  94931.90 |
|         526 | Bob        | Doe       |  94761.55 |
|         105 | Bob        | Brown     |  94684.50 |
|         429 | Jane       | Smith     |  94673.80 |
|          35 | John       | Doe       |  94591.73 |
|         756 | John       | Doe       |  94077.86 |
|           3 | Charlie    | Taylor    |  93703.87 |
|         973 | Alice      | Johnson   |  93401.15 |
|         445 | John       | Taylor    |  93378.95 |
|         754 | Jane       | Brown     |  93332.03 |
|         706 | John       | Doe       |  93208.19 |
|         947 | Jane       | Johnson   |  93121.07 |
|         779 | Bob        | Doe       |  92854.38 |
|         979 | John       | Doe       |  92757.32 |
|         988 | Bob        | Smith     |  91995.59 |
|         634 | Bob        | Taylor    |  91894.94 |
|          59 | Charlie    | Taylor    |  91801.57 |
|         290 | Bob        | Brown     |  91713.79 |
|         139 | John       | Johnson   |  91452.98 |
|         449 | Bob        | Smith     |  91250.95 |
|         277 | Jane       | Johnson   |  91105.36 |
|          52 | Alice      | Smith     |  90875.25 |
|         184 | John       | Smith     |  90546.84 |
|         805 | John       | Doe       |  90533.30 |
|         939 | Alice      | Brown     |  90441.26 |
|         194 | Jane       | Brown     |  90376.60 |
|          70 | Charlie    | Doe       |  90265.89 |
|         388 | Charlie    | Johnson   |  90148.99 |
|         196 | Charlie    | Taylor    |  89796.52 |
|         859 | Bob        | Brown     |  89715.19 |
|         594 | Alice      | Taylor    |  89624.32 |
|         872 | John       | Taylor    |  89340.56 |
|         780 | John       | Johnson   |  89027.56 |
|         728 | Bob        | Taylor    |  88877.25 |
|         297 | Alice      | Brown     |  88639.64 |
|         713 | Bob        | Doe       |  88418.86 |
|         513 | John       | Brown     |  88290.87 |
|         787 | Jane       | Doe       |  88154.97 |
|         637 | Jane       | Johnson   |  88063.43 |
|         549 | Charlie    | Johnson   |  88011.96 |
|         453 | Alice      | Johnson   |  87771.76 |
|         921 | John       | Taylor    |  87553.26 |
|         394 | Alice      | Doe       |  87509.96 |
|         991 | Jane       | Doe       |  87021.04 |
|         336 | Bob        | Doe       |  87017.14 |
|         614 | Charlie    | Johnson   |  86925.87 |
|         938 | Bob        | Brown     |  86872.19 |
|         283 | Jane       | Brown     |  86780.80 |
|         568 | Charlie    | Taylor    |  86778.55 |
|         533 | Jane       | Doe       |  86549.92 |
|         647 | Jane       | Brown     |  86415.06 |
|         343 | Charlie    | Smith     |  86343.77 |
|         136 | Bob        | Taylor    |  86326.34 |
|         323 | John       | Taylor    |  86317.27 |
|         663 | John       | Brown     |  86315.10 |
|         999 | Jane       | Taylor    |  85991.44 |
|         124 | Alice      | Taylor    |  85819.69 |
|          93 | Charlie    | Smith     |  85474.11 |
|         223 | John       | Doe       |  85440.37 |
|         109 | Alice      | Doe       |  85269.17 |
|         338 | John       | Smith     |  85212.97 |
|         168 | Jane       | Smith     |  85167.54 |
|         551 | John       | Johnson   |  84999.12 |
|         864 | Alice      | Doe       |  84890.69 |
|         382 | John       | Doe       |  84631.48 |
|         110 | Jane       | Brown     |  84578.33 |
|         428 | Jane       | Doe       |  84500.93 |
|          43 | Bob        | Taylor    |  84096.89 |
|          39 | Charlie    | Johnson   |  84093.72 |
|         291 | Jane       | Brown     |  83949.20 |
|         971 | Jane       | Smith     |  83911.50 |
|         177 | Bob        | Johnson   |  83720.50 |
|         817 | Bob        | Taylor    |  83158.57 |
|         271 | Charlie    | Smith     |  82953.89 |
|         758 | John       | Taylor    |  82867.08 |
|         545 | John       | Brown     |  82854.08 |
|         748 | Alice      | Doe       |  82842.17 |
|         298 | Charlie    | Smith     |  82457.12 |
|          68 | Charlie    | Smith     |  82380.22 |
|         951 | John       | Brown     |  82088.11 |
|         166 | Charlie    | Johnson   |  82028.13 |
|         455 | Bob        | Doe       |  81693.86 |
|         151 | Bob        | Doe       |  81423.12 |
|         863 | Bob        | Smith     |  81390.07 |
|         230 | Charlie    | Smith     |  81249.78 |
|         293 | John       | Smith     |  81096.48 |
|         956 | Alice      | Taylor    |  80696.09 |
